sbjId,neural_auc,behav_interaction_ms,sc_rpCond,sc_swCond
1,0.46453466666666665,46.83366022156997,83.23801411060788,130.07167433217785
2,0.656566,111.60637701215103,42.361669997976264,153.9680470101273
3,0.5713306666666665,38.95578665541632,152.78400382132122,191.73979047673754
4,0.6445079365079367,22.62330599547579,101.31288471129699,123.93619070677278
5,0.48246586666666663,38.57958288224256,58.819589684921766,97.39917256716433
6,0.5667471999999999,43.698320299320585,110.72319041403694,154.42151071335752
7,0.4567799999999999,37.20318858653786,114.84896529073137,152.05215387726923
8,0.6983537777777776,-73.99723343529558,157.03131002063253,83.03407658533695
9,0.5322720000000001,9.805778217369834,172.00344633940745,181.80922455677728
10,0.6620008,25.30718965868664,81.5277927888161,106.83498244750274
11,0.6130026666666667,-36.53802869049389,22.841904761919636,-13.696123928574252
12,0.6341099999999998,-11.719642336966785,36.54778807312698,24.828145736160195
13,0.5663471111111108,6.349385679564307,106.60211764672226,112.95150332628657
14,0.6226222222222223,109.11991249697542,79.41394678729353,188.53385928426894
15,0.7388133333333334,41.26092456588344,111.67967818374962,152.94060274963306
16,0.5523081269841271,10.950823581602094,78.46158893041763,89.41241251201973
17,0.4571319999999999,80.68079375214916,54.39396308689891,135.07475683904806
18,0.5427396666666666,36.89786847538312,89.83349206703531,126.73136054241843
20,0.5739464000000001,93.44483218931873,-86.18191215491811,7.262920034400622
21,0.6537813333333333,0.9067663398437844,156.65478529421637,157.56155163406015
22,0.6345209523809525,49.3973885038763,94.99803611089862,144.39542461477492
23,0.45934374603174605,89.26776060882992,67.09529474283795,156.36305535166787
24,0.577996507936508,15.502196069826027,42.540291680155065,58.04248774998109
25,0.5456127999999998,80.76137563128952,117.51109398430788,198.2724696155974
26,0.6580885333333333,-32.886120899297225,72.6407111175032,39.754590218205976
27,0.6562464000000001,99.31971209490996,55.36279317024855,154.6825052651585
28,0.5476898412698413,-3.495564250241955,76.18217360021379,72.68660934997183
29,0.5840336,37.99889774834935,118.36674815342303,156.36564590177238
31,0.6207616000000001,41.64451729757252,83.33197185084987,124.97648914842239
33,0.6938720000000003,111.87826228931658,-32.56708562919539,79.31117666012119
35,0.5682400000000001,77.83658402408048,135.50569705380815,213.34228107788863
36,0.6697873015873017,4.889505433218574,-33.38041241181418,-28.490906978595604
37,0.5319063999999999,1.675418909023847,68.72092070644862,70.39633961547247
38,0.5373466666666669,4.891962663293157,73.13571557626153,78.02767823955469
40,0.559372,140.86008240585898,20.063234851937068,160.92331725779604
41,0.7132258666666667,42.81267614186709,26.332757140565832,69.14543328243292
42,0.7075306666666666,-34.11067100252501,56.70522772117738,22.59455671865237
43,0.6572778666666668,10.427486506007199,26.04758370573279,36.47507021173999
45,0.5947203174603175,12.880781354716191,92.46308879461878,105.34387014933498
46,0.5100729251700682,23.82308468319593,56.35028042708484,80.17336511028077
47,0.6209387301587302,26.087237063348653,37.22137404829846,63.30861111164711
48,0.44319166666666665,7.178634684835856,183.49002617068209,190.66866085551794
49,0.542538666666667,63.54850401194767,74.33430451739844,137.8828085293461
51,0.5176593333333335,78.10270429259845,-7.444875403752462,70.65782888884598
52,0.6208766666666667,24.53877243337604,83.70524197328666,108.2440144066627
53,0.5751590476190477,56.040676205051,13.015862163400357,69.05653836845136
54,0.520638,38.042694518307826,12.062979208410525,50.10567372671835
55,0.7005998095238094,-73.24110212325684,126.61488245541284,53.373780332156
56,0.41599873015873007,70.59440373299549,91.9420551482931,162.53645888128858
57,0.492986,35.37379294988068,54.49573067181598,89.86952362169666
58,0.46589466666666673,-33.23962450505246,87.48473987533896,54.2451153702865
59,0.8644523809523805,18.47634011181526,59.63276060753071,78.10910071934597
60,0.6236939999999999,27.526707954941685,19.56932178874422,47.096029743685904
65,0.44300888888888923,59.62948592355599,76.85907402311841,136.4885599466744
66,0.5439744000000001,82.05998439222083,-10.111117853846395,71.94886653837443
68,0.5993462222222223,-14.028952077507029,148.8464610650683,134.81750898756127
69,0.6134726984126985,5.405640949001167,79.67464922227919,85.08029017128035
70,0.5385578666666667,44.017961197121735,79.88679632183107,123.9047575189528
